,Index,Dis No,Year,Disaster Subtype,Country,ISO,Region,Continent,Associated Dis,Associated Dis2,Appeal,Declaration,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,CPI,Location,Code,country,latitude,longitude,name,num,GDP_Scale,GDP_value,HE_value,FAO_Item,FAO_Value,Population_value,No,Index
30,11,1994-0624-IND,1994,Heat wave,India,IND,Southern Asia,Asia,,,,,49.0,1994,5,,1994,5,,161.0,,,,,54.7016925431883,"New Delhi, Rajasthan, Madhya Pradesh",IN,IN,20.593684,78.96288,India,11,Millions,...,,"Milk, Total",6709,945602.0,11,11
31,11,1994-0624-IND,1994,Heat wave,India,IND,Southern Asia,Asia,,,,,49.0,1994,5,,1994,5,,161.0,,,,,54.7016925431883,"New Delhi, Rajasthan, Madhya Pradesh",IN,IN,20.593684,78.96288,India,11,Millions,...,,Vegetables Primary,120911,945602.0,11,11
32,13,1995-0157-ESP,1995,Heat wave,Spain,ESP,Southern Europe,Europe,,,,,47.0,1995,7,25.0,1995,7,25.0,30.0,70.0,,,70.0,56.2363000218675,Andalusia,ES,ES,40.463667,-3.74922,Spain,13,Millions,460588,,"Cereals, Total",17297,39787.0,13,13
33,13,1995-0157-ESP,1995,Heat wave,Spain,ESP,Southern Europe,Europe,,,,,47.0,1995,7,25.0,1995,7,25.0,30.0,70.0,,,70.0,56.2363000218675,Andalusia,ES,ES,40.463667,-3.74922,Spain,13,Millions,460588,,Fruit Primary,73509,39787.0,13,13
34,13,1995-0157-ESP,1995,Heat wave,Spain,ESP,Southern Europe,Europe,,,,,47.0,1995,7,25.0,1995,7,25.0,30.0,70.0,,,70.0,56.2363000218675,Andalusia,ES,ES,40.463667,-3.74922,Spain,13,Millions,460588,,"Milk, Total",11263,39787.0,13,13
35,13,1995-0157-ESP,1995,Heat wave,Spain,ESP,Southern Europe,Europe,,,,,47.0,1995,7,25.0,1995,7,25.0,30.0,70.0,,,70.0,56.2363000218675,Andalusia,ES,ES,40.463667,-3.74922,Spain,13,Millions,460588,,Vegetables Primary,267357,39787.0,13,13
36,14,1995-0112-IND,1995,Heat wave,India,IND,Southern Asia,Asia,,,No,No,50.0,1995,5,8.0,1995,6,21.0,558.0,,,,,56.2363000218675,"Bihar, Punjab, Haryana and Jammu, Kashmir, Tamil Nadu, Maharashtra, Orissa, Uttar Pradesh, New Delhi, Rajasthan, Madhya Pradesh",IN,IN,20.593684,78.96288,India,14,Millions,...,,"Cereals, Total",21117,963923.0,14,14
37,14,1995-0112-IND,1995,Heat wave,India,IND,Southern Asia,Asia,,,No,No,50.0,1995,5,8.0,1995,6,21.0,558.0,,,,,56.2363000218675,"Bihar, Punjab, Haryana and Jammu, Kashmir, Tamil Nadu, Maharashtra, Orissa, Uttar Pradesh, New Delhi, Rajasthan, Madhya Pradesh",IN,IN,20.593684,78.96288,India,14,Millions,...,,Fruit Primary,109237,963923.0,14,14
38,14,1995-0112-IND,1995,Heat wave,India,IND,Southern Asia,Asia,,,No,No,50.0,1995,5,8.0,1995,6,21.0,558.0,,,,,56.2363000218675,"Bihar, Punjab, Haryana and Jammu, Kashmir, Tamil Nadu, Maharashtra, Orissa, Uttar Pradesh, New Delhi, Rajasthan, Madhya Pradesh",IN,IN,20.593684,78.96288,India,14,Millions,...,,"Milk, Total",7129,963923.0,14,14
39,14,1995-0112-IND,1995,Heat wave,India,IND,Southern Asia,Asia,,,No,No,50.0,1995,5,8.0,1995,6,21.0,558.0,,,,,56.2363000218675,"Bihar, Punjab, Haryana and Jammu, Kashmir, Tamil Nadu, Maharashtra, Orissa, Uttar Pradesh, New Delhi, Rajasthan, Madhya Pradesh",IN,IN,20.593684,78.96288,India,14,Millions,...,,Vegetables Primary,101637,963923.0,14,14
